4,whole milk,butter,rolls/buns,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,onions,pastry,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,herbs,whole milk,butter milk,yogurt,cream cheese,frozen vegetables,frozen fish,rolls/buns,salt,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,
4,berries,yogurt,domestic eggs,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ice cream,cereals,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whipped/sour cream,ice cream,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,chicken,hamburger meat,herbs,other vegetables,whole milk,yogurt,domestic eggs,rolls/buns,light bulbs,,,,,,,,,,,,,,,,,,,,,,,
4,bottled beer,liquor,liquor (appetizer),long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,sausage,citrus fruit,yogurt,pastry,instant coffee,soda,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,other vegetables,yogurt,frozen vegetables,margarine,pickled vegetables,cat food,detergent,potted plants,,,,,,,,,,,,,,,,,,,,,,,
7,grapes,berries,butter,frozen vegetables,bottled water,soda,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,
4,beef,soda,detergent,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,other vegetables,whipped/sour cream,rolls/buns,pastry,sweet spreads,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,frankfurter,ham,beef,berries,other vegetables,whole milk,yogurt,domestic eggs,pastry,soda,bottled beer,red/blush wine,flower (seeds),,,,,,,,,,,,,,,,,,,
1,hard cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,whole milk,curd,dessert,roll products,tea,cocoa drinks,bottled beer,canned beer,cooking chocolate,cling film/bags,,,,,,,,,,,,,,,,,,,,,,
6,sausage,rolls/buns,pastry,soda,seasonal products,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
2,root vegetables,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,other vegetables,bottled beer,red/blush wine,prosecco,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,sliced cheese,hard cheese,coffee,soda,bottled beer,chewing gum,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,soft cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,frankfurter,ham,citrus fruit,tropical fruit,pip fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,whipped/sour cream,processed cheese,domestic eggs,white bread,coffee,bottled beer,,,,,,,,,,,,,,,,
15,sausage,turkey,tropical fruit,grapes,other vegetables,whole milk,curd,yogurt,semi-finished bread,spices,baking powder,cat food,bottled water,long life bakery product,chocolate,,,,,,,,,,,,,,,,,
3,citrus fruit,pip fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,frankfurter,meat,white bread,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled water,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,finished products,dessert,pastry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,abrasive cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,dessert,misc. beverages,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,other vegetables,whole milk,butter,yogurt,beverages,sliced cheese,cereals,potted plants,,,,,,,,,,,,,,,,,,,,,,,,
3,curd,whipped/sour cream,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,bottled beer,nut snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whipped/sour cream,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frankfurter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,specialty cheese,soap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,other vegetables,whole milk,frozen vegetables,frozen dessert,soups,soda,napkins,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,
3,misc. beverages,chocolate,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
